imdbID,Awards,Prime_Won,Oscar_Won,Golden_Globe_Won,BAFTA_Won,Prime_Nominated,Oscar_Nominated,Golden_Globe_Nominated,BAFTA_Nominated,Total_Wins,Total_Nominations
tt3279124,Nominated for 1 Oscar. Another 4 wins & 9 nominations.,0,0,0,0,0,1,0,0,4,10
tt3281074,2 wins & 1 nomination.,0,0,0,0,0,0,0,0,2,0
tt3395184,4 wins & 10 nominations.,0,0,0,0,0,0,0,0,4,10
tt3713166,3 wins & 2 nominations.,0,0,0,0,0,0,0,0,3,2
tt0145487,Nominated for 2 Oscars. Another 14 wins & 56 nominations.,0,0,0,0,0,2,0,0,14,58
tt0235198,4 wins & 2 nominations.,0,0,0,0,0,0,0,0,4,2
tt0330793,1 win & 5 nominations.,0,0,0,0,0,0,0,0,0,5
tt0369610,6 wins & 53 nominations.,0,0,0,0,0,0,0,0,6,53
tt0478970,Nominated for 1 BAFTA Film Award. Another 2 wins & 28 nominations.,0,0,0,0,0,0,0,1,2,29
tt0482629,3 wins.,0,0,0,0,0,0,0,0,3,0
tt1051904,3 nominations.,0,0,0,0,0,0,0,0,0,3
tt1133985,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
tt1179933,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1211837,1 win.,0,0,0,0,0,0,0,0,0,0
tt1289401,4 nominations.,0,0,0,0,0,0,0,0,0,4
tt1340138,7 nominations.,0,0,0,0,0,0,0,0,0,7
tt1386697,2 wins & 6 nominations.,0,0,0,0,0,0,0,0,2,6
tt1431045,4 wins & 11 nominations.,0,0,0,0,0,0,0,0,4,11
tt1628841,1 win & 2 nominations.,0,0,0,0,0,0,0,0,0,2
tt1661199,Nominated for 1 Oscar. Another 8 wins & 28 nominations.,0,0,0,0,0,1,0,0,8,29
tt1679335,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt1700841,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1881002,1 win & 3 nominations.,0,0,0,0,0,0,0,0,0,3
tt1883367,1 win & 3 nominations.,0,0,0,0,0,0,0,0,0,3
tt1951266,17 wins & 28 nominations.,0,0,0,0,0,0,0,0,17,28
tt1964418,2 wins & 16 nominations.,0,0,0,0,0,0,0,0,2,16
tt1974419,2 wins & 2 nominations.,0,0,0,0,0,0,0,0,2,2
tt1979388,Nominated for 1 Golden Globe. Another 5 wins & 39 nominations.,0,0,0,0,0,0,1,0,5,40
tt1985949,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2049543,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2096673,Won 1 Oscar. Another 91 wins & 95 nominations.,0,1,0,0,0,0,0,0,92,95
tt2101383,3 wins & 3 nominations.,0,0,0,0,0,0,0,0,3,3
tt2118624,5 wins & 10 nominations.,0,0,0,0,0,0,0,0,5,10
tt2126355,10 nominations.,0,0,0,0,0,0,0,0,0,10
tt2224026,2 wins & 8 nominations.,0,0,0,0,0,0,0,0,2,8
tt2267968,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2268016,2 wins & 1 nomination.,0,0,0,0,0,0,0,0,2,0
tt2277860,2 wins & 2 nominations.,0,0,0,0,0,0,0,0,2,2
tt2279373,1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,6
tt2293640,Nominated for 1 BAFTA Film Award. Another 1 win & 18 nominations.,0,0,0,0,0,0,0,1,0,19
tt2304933,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2309260,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2322441,Nominated for 1 Oscar. Another 9 wins & 18 nominations.,0,0,0,0,0,1,0,0,9,19
tt2379713,Won 1 Oscar. Another 7 wins & 29 nominations.,0,1,0,0,0,0,0,0,8,29
tt2381111,Nominated for 3 Oscars. Another 32 wins & 141 nominations.,0,0,0,0,0,3,0,0,32,144
tt2381249,2 wins & 18 nominations.,0,0,0,0,0,0,0,0,2,18
tt2395427,5 wins & 41 nominations.,0,0,0,0,0,0,0,0,5,41
tt2452042,Nominated for 1 Golden Globe. Another 1 win & 44 nominations.,0,0,0,0,0,0,1,0,0,45
tt2473510,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2488496,Nominated for 5 Oscars. Another 47 wins & 106 nominations.,0,0,0,0,0,5,0,0,47,111
tt2510894,1 win & 10 nominations.,0,0,0,0,0,0,0,0,0,10
tt2543164,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2554274,6 wins & 33 nominations.,0,0,0,0,0,0,0,0,6,33
tt2555736,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2567026,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2582782,3 nominations.,0,0,0,0,0,0,0,0,0,3
tt2649554,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2674426,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2702724,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2709768,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2719848,7 nominations.,0,0,0,0,0,0,0,0,0,7
tt2749282,2 wins.,0,0,0,0,0,0,0,0,2,0
tt2802136,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2872750,Nominated for 1 Oscar. Another 2 wins & 49 nominations.,0,0,0,0,0,1,0,0,2,50
tt2948356,2 wins & 4 nominations.,0,0,0,0,0,0,0,0,2,4
tt2975590,1 win & 7 nominations.,0,0,0,0,0,0,0,0,0,7
tt2992000,1 win & 2 nominations.,0,0,0,0,0,0,0,0,0,2
tt3040964,2 wins & 4 nominations.,0,0,0,0,0,0,0,0,2,4
tt3369806,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt3385516,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt3416828,1 win.,0,0,0,0,0,0,0,0,0,0
tt3498820,2 wins & 7 nominations.,0,0,0,0,0,0,0,0,2,7
tt3499096,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt3518012,5 wins & 26 nominations.,0,0,0,0,0,0,0,0,5,26
tt3567288,1 win & 10 nominations.,0,0,0,0,0,0,0,0,0,10
tt3591436,4 wins & 1 nomination.,0,0,0,0,0,0,0,0,4,0
tt3631112,1 win.,0,0,0,0,0,0,0,0,0,0
tt3704050,3 wins & 19 nominations.,0,0,0,0,0,0,0,0,3,19
tt3705412,8 wins & 6 nominations.,0,0,0,0,0,0,0,0,8,6
tt3774694,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt3850590,2 wins & 8 nominations.,0,0,0,0,0,0,0,0,2,8
tt3882082,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt3910602,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt3949660,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt3991412,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt4046784,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
tt4085084,1 win & 4 nominations.,0,0,0,0,0,0,0,0,0,4
tt4163020,2 nominations.,0,0,0,0,0,0,0,0,0,2
